mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,added_at
0.5203,0.3345,0.8531,0.5983,0.4807,2025-05-31 22:01
0.5159,0.3503,0.8853,0.6215,0.4811,2025-05-31 22:10
0.5165,0.3572,0.8947,0.6413,0.4672,2025-05-31 22:18
0.5124,0.3569,0.9014,0.6404,0.4655,2025-06-01 18:55
0.5349,0.3777,0.9022,0.6643,0.4377,2025-06-02 05:43
0.5331,0.369,0.9014,0.6518,0.4332,2025-06-03 20:04
0.5315,0.3713,0.902,0.6553,0.438,2025-06-04 23:55
0.5258,0.3611,0.8978,0.645,0.453,2025-06-05 05:02
0.5207,0.3614,0.894,0.6458,0.4533,2025-06-06 01:30
0.5118,0.3554,0.8934,0.6433,0.4533,2025-06-07 23:38
0.4943,0.3437,0.8931,0.638,0.4676,2025-06-08 01:10
0.4926,0.3475,0.8938,0.6434,0.4689,2025-06-08 01:52
0.4985,0.358,0.9002,0.659,0.4559,2025-06-08 03:18
0.4944,0.3568,0.9029,0.6659,0.4513,2025-06-09 01:24
0.5028,0.3567,0.8871,0.6587,0.4503,2025-06-09 18:54
0.483,0.3336,0.8829,0.6379,0.4804,2025-06-10 03:48
0.4835,0.3206,0.8627,0.6158,0.5075,2025-06-10 04:00
0.4754,0.332,0.8807,0.6236,0.4973,2025-06-11 01:11
0.4865,0.3445,0.8924,0.637,0.4743,2025-06-11 23:57
0.4917,0.3455,0.9015,0.6426,0.4654,2025-06-11 23:57
0.4836,0.3406,0.895,0.6325,0.4875,2025-06-12 01:14
0.4744,0.3376,0.8831,0.6203,0.4915,2025-06-12 01:21
0.4635,0.3124,0.8773,0.6028,0.5182,2025-06-13 04:32
0.4684,0.3095,0.8619,0.5948,0.5199,2025-06-13 04:35
0.4673,0.297,0.8591,0.5797,0.5284,2025-06-13 04:37
0.4674,0.3183,0.8787,0.6026,0.5007,2025-06-14 01:12
0.4704,0.3246,0.8788,0.6143,0.4879,2025-06-14 01:17
0.4698,0.3307,0.8788,0.61,0.4841,2025-06-14 01:20
0.4792,0.3269,0.8788,0.6118,0.4773,2025-06-14 01:24
0.4857,0.3225,0.8788,0.6123,0.4827,2025-06-14 01:30
0.5034,0.3142,0.8723,0.6078,0.4875,2025-06-14 06:42
0.5171,0.3005,0.8684,0.6048,0.5039,2025-06-14 08:01
